Black Cod With Miso,85,Black Cod With Miso
Black Label Burger,105,Black Label Burger
Blackened Redfish,121,Blackened Redfish
Buffalo Wings,1724,Buffalo Wings
Burger,124,Burger
Burgoo,532,Burgoo
Canlis Salad,1171,Canlis Salad
Carnitas Burrito,679,Carnitas Burrito
Charbroiled Oysters,303,Charbroiled Oysters
Cheese Slice,12,Cheese Slice
Cheeseburger,319,Cheeseburger
Cheesesteak,2000,Cheesesteak
Chicago-Style Hot Dog,377,Chicago-Style Hot Dog
Chicken and Waffles,620,Chicken and Waffles
Chicken for Two,284,Chicken for Two
Chili Dog,390,Chili Dog
Chopped Barbecue Sandwich,575,Chopped Barbecue Sandwich
Chorizo-Stuffed Medjool Dates,66,Chorizo-Stuffed Medjool Dates
Cioppino,79,Cioppino
Clam Chowder,163,Clam Chowder
Classic Chili,290,Classic Chili
Conch Chowder,139,Conch Chowder
Colcannon,78,colcannon